0,words,frequency
size,['size'],2063
visit,['visit'],2062
air,['air'],2053
extremely,['extremely'],2052
suite,['suite'],2033
available,['available'],2026
come,['come'],2025
fine,['fine'],2010
near,['near'],2009
having,['having'],2004
expensive,['expensive'],1998
huge,['huge'],1988
shopping,['shopping'],1985
tv,['tv'],1972
work,['work'],1966
towels,['towels'],1955
hour,['hour'],1946
pay,['pay'],1940
evening,['evening'],1916
returned,['returned'],1908
end,['end'],1899
came,['came'],1897
ca,['ca'],1894
especially,['especially'],1887
thought,['thought'],1886
felt,['felt'],1878
getting,['getting'],1876
high,['high'],1869
hours,['hours'],1868
extra,['extra'],1865
used,['used'],1857
spacious,['spacious'],1855
hard,['hard'],1848
ask,['ask'],1844
plenty,['plenty'],1838
highly,['highly'],1819
drink,['drink'],1793
car,['car'],1788
distance,['distance'],1786
cana,['cana'],1778
building,['building'],1768
punta,['punta'],1766
ocean,['ocean'],1761
choice,['choice'],1760
expect,['expect'],1749
business,['business'],1747
spent,['spent'],1746
6,['6'],1743
wait,['wait'],1743
rate,['rate'],1731
safe,['safe'],1726
short,['short'],1724
places,['places'],1723
does,['does'],1723
called,['called'],1722
paid,['paid'],1702
parking,['parking'],1693
san,['san'],1689
20,['20'],1673
able,['able'],1671
access,['access'],1670
help,['help'],1657
wife,['wife'],1655
read,['read'],1646
pleasant,['pleasant'],1639
happy,['happy'],1635
included,['included'],1625
quality,['quality'],1624
book,['book'],1621
15,['15'],1619
late,['late'],1610
look,['look'],1607
travel,['travel'],1600
square,['square'],1584
probably,['probably'],1554
fresh,['fresh'],1533
problems,['problems'],1530
second,['second'],1529
7,['7'],1526
central,['central'],1509
la,['la'],1507
given,['given'],1506
person,['person'],1499
it,['it'],1493
deal,['deal'],1489
enjoy,['enjoy'],1485
ate,['ate'],1478
lunch,['lunch'],1477
absolutely,['absolutely'],1475
tour,['tour'],1474
weekend,['weekend'],1466
leave,['leave'],1466
gave,['gave'],1465
metro,['metro'],1460
actually,['actually'],1448
bring,['bring'],1441
park,['park'],1439
looked,['looked'],1437
needed,['needed'],1434
checked,['checked'],1412
standard,['standard'],1406
lounge,['lounge'],1400
special,['special'],1376
holiday,['holiday'],1376
bars,['bars'],1369
train,['train'],1365
barcelona,['barcelona'],1350
cold,['cold'],1344
30,['30'],1340
taxi,['taxi'],1327
kept,['kept'],1327
property,['property'],1317
let,['let'],1311
double,['double'],1305
concierge,['concierge'],1299
friends,['friends'],1299
wine,['wine'],1298
french,['french'],1294
views,['views'],1284
grounds,['grounds'],1279
disappointed,['disappointed'],1275
paris,['paris'],1274
stop,['stop'],1272
luggage,['luggage'],1263
reservations,['reservations'],1261
ride,['ride'],1261
convenient,['convenient'],1254
tried,['tried'],1251
plus,['plus'],1248
average,['average'],1247
sleep,['sleep'],1246
local,['local'],1239
spa,['spa'],1234
spanish,['spanish'],1233
ready,['ready'],1225
chairs,['chairs'],1220
bath,['bath'],1220
yes,['yes'],1212
entertainment,['entertainment'],1212
space,['space'],1206
tip,['tip'],1202
balcony,['balcony'],1202
warm,['warm'],1202
shops,['shops'],1198
line,['line'],1195
children,['children'],1195
8,['8'],1191
arrival,['arrival'],1183
amsterdam,['amsterdam'],1182
fruit,['fruit'],1175
speak,['speak'],1166
busy,['busy'],1164
a,['a'],1164
cost,['cost'],1163
fabulous,['fabulous'],1155
saw,['saw'],1154
years,['years'],1154
center,['center'],1153
real,['real'],1152
areas,['areas'],1150
florence,['florence'],1150
offered,['offered'],1149
manager,['manager'],1148
later,['later'],1147
fact,['fact'],1143
charge,['charge'],1141
including,['including'],1141
expected,['expected'],1134
all,['all'],1132
town,['town'],1129
cheap,['cheap'],1127
love,['love'],1127
island,['island'],1126
block,['block'],1124
corner,['corner'],1121
world,['world'],1114
pools,['pools'],1102
walked,['walked'],1097
certainly,['certainly'],1091
mini,['mini'],1082
flight,['flight'],1081
king,['king'],1079
booking,['booking'],1074
road,['road'],1074
euros,['euros'],1071
blocks,['blocks'],1066
prices,['prices'],1052
facilities,['facilities'],1052
provided,['provided'],1051
reservation,['reservation'],1050
liked,['liked'],1045
there,['there'],1043
tea,['tea'],1039
nearby,['nearby'],1038
half,['half'],1035
decided,['decided'],1030
site,['site'],1029
light,['light'],1028
decent,['decent'],1027
centre,['centre'],1022
resorts,['resorts'],1022
table,['table'],1021
change,['change'],1018
noisy,['noisy'],1018
spend,['spend'],1014
served,['served'],1011
house,['house'],1006
course,['course'],1003
group,['group'],1001
review,['review'],994
start,['start'],992
kind,['kind'],991
hear,['hear'],989
window,['window'],985
cool,['cool'],985
activities,['activities'],982
order,['order'],982
italian,['italian'],978
meal,['meal'],976
worked,['worked'],976
relaxing,['relaxing'],974
dominican,['dominican'],974
reading,['reading'],971
website,['website'],963
offer,['offer'],962
rest,['rest'],956
care,['care'],953
market,['market'],953
windows,['windows'],952
run,['run'],948
making,['making'],948
awesome,['awesome'],945
card,['card'],944
inn,['inn'],936
juan,['juan'],933
guest,['guest'],930
seen,['seen'],928
recommended,['recommended'],928
poor,['poor'],925
sun,['sun'],923
set,['set'],920
quick,['quick'],918
shuttle,['shuttle'],914
style,['style'],914
working,['working'],912
mind,['mind'],912
reasonable,['reasonable'],910
tell,['tell'],903
non,['non'],900
tourist,['tourist'],897
bathrooms,['bathrooms'],891
decor,['decor'],890
met,['met'],889
maybe,['maybe'],884
twice,['twice'],884
point,['point'],883
music,['music'],882
selection,['selection'],881
major,['major'],879
finally,['finally'],867
trying,['trying'],862
bedroom,['bedroom'],861
weather,['weather'],858
phone,['phone'],856
honeymoon,['honeymoon'],856
daily,['daily'],850
waiting,['waiting'],850
decorated,['decorated'],849
brought,['brought'],847
12,['12'],847
entire,['entire'],846
upgraded,['upgraded'],841
needs,['needs'],841
tub,['tub'],840
50,['50'],840
level,['level'],835
believe,['believe'],832
american,['american'],831
downtown,['downtown'],830
complimentary,['complimentary'],829
cleaned,['cleaned'],829
bags,['bags'],826
palace,['palace'],824
grand,['grand'],823
00,['00'],821
shows,['shows'],820
variety,['variety'],820
tiny,['tiny'],818
taken,['taken'],815
sick,['sick'],809
spoke,['spoke'],807
cafe,['cafe'],805
heard,['heard'],804
9,['9'],801
casino,['casino'],800
impressed,['impressed'],800
dont,['dont'],799
choose,['choose'],798
fridge,['fridge'],798
single,['single'],797
chose,['chose'],796
note,['note'],794
negative,['negative'],794
dining,['dining'],792
afternoon,['afternoon'],791
party,['party'],783
swim,['swim'],783
usually,['usually'],782
london,['london'],781
number,['number'],780
amenities,['amenities'],780
shop,['shop'],777
inclusive,['inclusive'],774
priced,['priced'],774
glass,['glass'],773
white,['white'],772
sand,['sand'],764
sit,['sit'],764
maid,['maid'],763
housekeeping,['housekeeping'],761
key,['key'],760
gorgeous,['gorgeous'],760
24,['24'],757
request,['request'],756
bottle,['bottle'],755
welcome,['welcome'],754
touch,['touch'],754
instead,['instead'],753
upgrade,['upgrade'],751
wall,['wall'],751
dirty,['dirty'],747
toilet,['toilet'],747
hilton,['hilton'],747
york,['york'],747
taking,['taking'],746
st,['st'],743
worst,['worst'],743
previous,['previous'],741
beer,['beer'],740
superb,['superb'],740
requested,['requested'],739
remember,['remember'],738
rude,['rude'],738
middle,['middle'],737
coming,['coming'],736
tower,['tower'],735
mins,['mins'],730
wrong,['wrong'],729
wedding,['wedding'],729
country,['country'],728
buy,['buy'],727
plaza,['plaza'],727
conditioning,['conditioning'],726
relax,['relax'],726
efficient,['efficient'],726
complaint,['complaint'],726
okay,['okay'],720
atmosphere,['atmosphere'],719
suites,['suites'],717
didnt,['didnt'],716
definately,['definately'],715
seattle,['seattle'],712
smell,['smell'],712
unless,['unless'],708
menu,['menu'],707
100,['100'],706
daughter,['daughter'],705
attractions,['attractions'],705
received,['received'],704
issue,['issue'],698
turn,['turn'],697
directly,['directly'],697
watch,['watch'],695
adequate,['adequate'],694
makes,['makes'],694
surprised,['surprised'],693
royal,['royal'],689
break,['break'],688
true,['true'],688
elevator,['elevator'],688
cab,['cab'],687
bavaro,['bavaro'],686
basic,['basic'],684
recently,['recently'],684
quickly,['quickly'],684
smoking,['smoking'],683
public,['public'],682
complaints,['complaints'],681
bali,['bali'],681
truly,['truly'],678
eating,['eating'],674
pillows,['pillows'],674
garden,['garden'],673
super,['super'],672
ended,['ended'],672
japanese,['japanese'],672
doors,['doors'],669
luxury,['luxury'],668
pick,['pick'],666
private,['private'],664
delicious,['delicious'],664
11,['11'],663
overlooking,['overlooking'],662
inside,['inside'],661
nicely,['nicely'],659
understand,['understand'],658
well,['well'],655
cruise,['cruise'],655
package,['package'],655
floors,['floors'],654
gym,['gym'],654
past,['past'],653
25,['25'],652
terrible,['terrible'],652
store,['store'],650
head,['head'],649
turned,['turned'],648
soon,['soon'],647
young,['young'],647
expectations,['expectations'],646
subway,['subway'],644
c,['c'],644
knew,['knew'],643
polite,['polite'],642
moved,['moved'],641
ones,['ones'],640
spot,['spot'],640
mentioned,['mentioned'],640
everyday,['everyday'],638
pleased,['pleased'],637
weeks,['weeks'],635
standards,['standards'],635
leaving,['leaving'],635
stuff,['stuff'],635
easily,['easily'],634
continental,['continental'],631
alot,['alot'],630
despite,['despite'],630
checking,['checking'],628
ice,['ice'],626
ramblas,['ramblas'],625
friend,['friend'],625
blue,['blue'],624
life,['life'],622
based,['based'],621
european,['european'],618
eggs,['eggs'],617
loud,['loud'],616
meals,['meals'],615
hand,['hand'],612
son,['son'],612
guess,['guess'],611
tropical,['tropical'],608
wish,['wish'],607
min,['min'],606
dark,['dark'],606
walls,['walls'],605
type,['type'],604
class,['class'],604
live,['live'],603
sitting,['sitting'],602
on,['on'],602
outstanding,['outstanding'],602
w,['w'],601
hope,['hope'],601
management,['management'],600
professional,['professional'],600
prepared,['prepared'],599
customer,['customer'],598
closed,['closed'],598
doing,['doing'],597
crowded,['crowded'],597
swimming,['swimming'],596
fish,['fish'],595
courtyard,['courtyard'],595
bother,['bother'],595
simply,['simply'],593
harbour,['harbour'],590
helped,['helped'],588
separate,['separate'],588
riu,['riu'],588
flat,['flat'],587
job,['job'],586
changed,['changed'],586
plan,['plan'],586
attentive,['attentive'],584
e,['e'],584
wo,['wo'],583
you,['you'],582
francisco,['francisco'],582
mexican,['mexican'],580
immediately,['immediately'],579
favorite,['favorite'],579
items,['items'],577
if,['if'],575
slow,['slow'],574
ritz,['ritz'],573
m,['m'],573
particularly,['particularly'],573
thank,['thank'],571
reason,['reason'],571
cleaning,['cleaning'],571
cheese,['cheese'],570
comfy,['comfy'],570
dollars,['dollars'],570
construction,['construction'],568
marriott,['marriott'],568
steak,['steak'],568
services,['services'],568
out,['out'],567
visited,['visited'],566
drive,['drive'],565
fairly,['fairly'],562
carte,['carte'],561
tripadvisor,['tripadvisor'],559
el,['el'],559
goes,['goes'],558
avoid,['avoid'],558
using,['using'],558
budget,['budget'],557
guy,['guy'],557
towel,['towel'],556
horrible,['horrible'],556
heart,['heart'],555
paying,['paying'],554
ideal,['ideal'],551
greeted,['greeted'],550
limited,['limited'],548
low,['low'],547
pm,['pm'],547
spotless,['spotless'],547
completely,['completely'],547
birthday,['birthday'],546
screen,['screen'],545
enjoyable,['enjoyable'],545
complain,['complain'],545
tired,['tired'],543
westin,['westin'],543
cheaper,['cheaper'],541
nyc,['nyc'],539
canal,['canal'],539
appointed,['appointed'],539
u,['u'],539
charming,['charming'],538
juice,['juice'],538
matter,['matter'],537
euro,['euro'],536
this,['this'],536
maintained,['maintained'],536
chair,['chair'],535
furniture,['furniture'],534
boyfriend,['boyfriend'],534
stars,['stars'],534
snacks,['snacks'],534
pricey,['pricey'],533
s,['s'],533
nicer,['nicer'],533
courteous,['courteous'],533
boat,['boat'],532
none,['none'],529
unfortunately,['unfortunately'],529
takes,['takes'],528
positive,['positive'],527
thanks,['thanks'],527
possible,['possible'],526
sized,['sized'],526
district,['district'],526
larger,['larger'],525
smile,['smile'],525
charged,['charged'],524
started,['started'],524
grill,['grill'],524
fast,['fast'],524
soft,['soft'],523
our,['our'],522
advice,['advice'],522
fault,['fault'],521
couples,['couples'],520
sydney,['sydney'],520
tram,['tram'],519
case,['case'],516
lack,['lack'],516
looks,['looks'],515
sea,['sea'],514
opened,['opened'],513
waikiki,['waikiki'],511
seafood,['seafood'],510
golf,['golf'],509
difficult,['difficult'],509
questions,['questions'],508
choices,['choices'],507
oh,['oh'],507
compared,['compared'],506
trips,['trips'],505
sheets,['sheets'],502
valet,['valet'],502
sights,['sights'],502
miss,['miss'],501
champagne,['champagne'],500
pizza,['pizza'],500
situated,['situated'],499
march,['march'],499
exactly,['exactly'],499
up,['up'],499
totally,['totally'],498
tips,['tips'],497
traffic,['traffic'],496
general,['general'],496
boston,['boston'],496
2nd,['2nd'],496
seeing,['seeing'],493
kitchen,['kitchen'],492
provide,['provide'],491
security,['security'],491
deluxe,['deluxe'],489
berlin,['berlin'],488
quarter,['quarter'],488
clear,['clear'],488
surprise,['surprise'],488
language,['language'],487
excellence,['excellence'],487
orleans,['orleans'],486
executive,['executive'],485
3rd,['3rd'],485
red,['red'],485
beat,['beat'],485
smaller,['smaller'],484
stocked,['stocked'],483
saying,['saying'],483
visiting,['visiting'],483
arrive,['arrive'],482
mention,['mention'],481
slightly,['slightly'],481
experienced,['experienced'],480
april,['april'],480
traveling,['traveling'],480
suggest,['suggest'],478
villa,['villa'],478
las,['las'],477
ordered,['ordered'],477
july,['july'],475
40,['40'],474
living,['living'],474
returning,['returning'],474
buffets,['buffets'],473
issues,['issues'],473
puerto,['puerto'],472
man,['man'],472
terrace,['terrace'],471
pictures,['pictures'],471
don,['don'],470
neighborhood,['neighborhood'],470
credit,['credit'],470
welcoming,['welcoming'],470
europe,['europe'],470
rain,['rain'],469
singapore,['singapore'],469
noticed,['noticed'],469
so,['so'],469
speaking,['speaking'],469
june,['june'],467
romantic,['romantic'],467
incredible,['incredible'],467
treated,['treated'],467
etc,['etc'],466
tours,['tours'],466
interesting,['interesting'],466
reasonably,['reasonably'],465
boutique,['boutique'],465
facing,['facing'],464
trouble,['trouble'],463
tables,['tables'],462
cable,['cable'],462
considering,['considering'],462
simple,['simple'],461
didn,['didn'],461
forget,['forget'],461
glad,['glad'],461
rates,['rates'],460
stops,['stops'],458
entrance,['entrance'],458
jacuzzi,['jacuzzi'],457
caribbean,['caribbean'],456
directions,['directions'],456
stairs,['stairs'],455
information,['information'],455
advisor,['advisor'],455
sites,['sites'],454
beaches,['beaches'],454
disco,['disco'],454
agree,['agree'],454
queen,['queen'],453
perfectly,['perfectly'],452
closet,['closet'],452
generally,['generally'],450
points,['points'],450
massage,['massage'],448
prior,['prior'],448
paradise,['paradise'],448
renovated,['renovated'],448
offers,['offers'],446
spectacular,['spectacular'],446
sign,['sign'],445
consider,['consider'],442
chinese,['chinese'],442
hong,['hong'],442
gets,['gets'],441
one,['one'],440
kong,['kong'],440
toiletries,['toiletries'],438
moment,['moment'],438
longer,['longer'],438
typical,['typical'],437
ago,['ago'],436
caribe,['caribe'],436
union,['union'],435
terrific,['terrific'],434
river,['river'],434
roof,['roof'],434
idea,['idea'],434
mall,['mall'],433
tourists,['tourists'],433
running,['running'],433
asking,['asking'],433
sent,['sent'],432
member,['member'],432
options,['options'],431
buildings,['buildings'],430
superior,['superior'],428
marble,['marble'],428
families,['families'],428
meet,['meet'],427
museum,['museum'],427
literally,['literally'],427
allowed,['allowed'],426
anniversary,['anniversary'],426
travelling,['travelling'],425
my,['my'],425
expecting,['expecting'],424
design,['design'],423
apple,['apple'],423
pressure,['pressure'],423
opinion,['opinion'],423
adults,['adults'],422
majestic,['majestic'],421
rating,['rating'],421
means,['means'],421
streets,['streets'],420
important,['important'],420
broken,['broken'],419
waited,['waited'],419
employees,['employees'],418
tokyo,['tokyo'],418
attention,['attention'],417
princess,['princess'],416
somewhat,['somewhat'],416
bugs,['bugs'],416
comments,['comments'],415
lost,['lost'],415
disappointing,['disappointing'],415
bread,['bread'],415
higher,['higher'],414
treat,['treat'],412
feeling,['feeling'],412
luxurious,['luxurious'],410
overpriced,['overpriced'],409
serve,['serve'],406
sound,['sound'],405
taste,['taste'],404
downstairs,['downstairs'],402
slept,['slept'],402
rum,['rum'],401
picked,['picked'],401
appreciated,['appreciated'],401
personal,['personal'],401
14,['14'],400
traveled,['traveled'],400
awful,['awful'],399
brilliant,['brilliant'],398
sightseeing,['sightseeing'],398
breakfasts,['breakfasts'],397
advance,['advance'],395
secrets,['secrets'],394
north,['north'],394
beware,['beware'],393
driver,['driver'],393
agent,['agent'],392
minor,['minor'],392
various,['various'],392
feet,['feet'],389
ground,['ground'],389
2007,['2007'],388
exceptional,['exceptional'],388
steps,['steps'],388
play,['play'],388
bridge,['bridge'],388
finding,['finding'],388
mexico,['mexico'],388
older,['older'],387
planning,['planning'],387
machine,['machine'],387
guys,['guys'],387
fair,['fair'],387
annoying,['annoying'],386
sink,['sink'],385
lady,['lady'],385
forward,['forward'],384
months,['months'],384
chicken,['chicken'],383
august,['august'],383
bay,['bay'],383
beautifully,['beautifully'],381
email,['email'],380
round,['round'],380
pastries,['pastries'],379
t,['t'],379
opposite,['opposite'],378
chain,['chain'],378
complained,['complained'],378
madrid,['madrid'],377
chocolate,['chocolate'],377
ceiling,['ceiling'],377
excursions,['excursions'],376
company,['company'],376
saturday,['saturday'],375
bottled,['bottled'],375
basically,['basically'],375
sleeping,['sleeping'],375
tipped,['tipped'],375
regular,['regular'],375
twin,['twin'],375
list,['list'],374
usual,['usual'],374
transport,['transport'],374
pass,['pass'],373
mid,['mid'],372
shade,['shade'],372
dr,['dr'],370
attitude,['attitude'],370
art,['art'],370
comes,['comes'],370
sort,['sort'],368
flowers,['flowers'],368
travelers,['travelers'],368
willing,['willing'],367
reviewers,['reviewers'],367
save,['save'],366
following,['following'],366
arriving,['arriving'],366
difference,['difference'],366
wireless,['wireless'],365
chance,['chance'],364
fixed,['fixed'],364
happened,['happened'],364
worse,['worse'],363
bottles,['bottles'],363
whilst,['whilst'],362
elevators,['elevators'],362
option,['option'],362
face,['face'],362
p,['p'],362
complete,['complete'],361
transportation,['transportation'],361
smoke,['smoke'],361
gem,['gem'],360
channels,['channels'],360
south,['south'],359
clothes,['clothes'],358
earlier,['earlier'],358
imagine,['imagine'],357
straight,['straight'],357
sports,['sports'],355
gardens,['gardens'],354
hair,['hair'],353
obviously,['obviously'],352
bigger,['bigger'],352
bought,['bought'],352
online,['online'],352
locals,['locals'],352
carpet,['carpet'],351
total,['total'],351
future,['future'],350
equipped,['equipped'],350
word,['word'],349
melia,['melia'],349
write,['write'],349
lower,['lower'],349
showed,['showed'],347
wide,['wide'],347
section,['section'],347
18,['18'],347
2006,['2006'],347
lobster,['lobster'],347
managed,['managed'],346
recommendations,['recommendations'],346
delivered,['delivered'],345
trees,['trees'],344
careful,['careful'],344
b,['b'],343
2008,['2008'],343
fan,['fan'],343
range,['range'],342
fully,['fully'],342
rico,['rico'],342
added,['added'],341
cafes,['cafes'],341
italy,['italy'],341
taxis,['taxis'],341
gone,['gone'],341
lines,['lines'],340
apart,['apart'],340
comment,['comment'],340
month,['month'],340
fee,['fee'],339
filled,['filled'],339
additional,['additional'],339
aware,['aware'],338
heat,['heat'],338
lift,['lift'],336
base,['base'],336
members,['members'],336
sister,['sister'],335
1st,['1st'],335
wow,['wow'],335
supposed,['supposed'],334
reserved,['reserved'],334
iberostar,['iberostar'],334
handy,['handy'],333
buses,['buses'],333
mixed,['mixed'],333
lucky,['lucky'],333
notice,['notice'],333
bell,['bell'],333
calls,['calls'],333
incredibly,['incredibly'],332
common,['common'],332
foot,['foot'],332
thoroughly,['thoroughly'],331
45,['45'],331
dollar,['dollar'],331
stores,['stores'],331
immaculate,['immaculate'],330
5th,['5th'],330
americans,['americans'],329
16,['16'],329
mean,['mean'],329
hyatt,['hyatt'],328
advantage,['advantage'],328
waves,['waves'],328
lights,['lights'],328
spending,['spending'],326
strong,['strong'],326
bartenders,['bartenders'],326
accomodating,['accomodating'],325
hall,['hall'],325
com,['com'],325
hit,['hit'],325
conference,['conference'],324
furnished,['furnished'],324
ac,['ac'],324
summer,['summer'],324
board,['board'],323
picky,['picky'],322
bag,['bag'],322
comfort,['comfort'],321
excursion,['excursion'],321
pleasantly,['pleasantly'],321
gift,['gift'],320
stand,['stand'],320
stylish,['stylish'],320
outdoor,['outdoor'],319
duomo,['duomo'],318
minibar,['minibar'],318
add,['add'],318
4th,['4th'],318
cooked,['cooked'],317
junior,['junior'],317
nightly,['nightly'],316
centrally,['centrally'],316
share,['share'],316
sunday,['sunday'],315
nearly,['nearly'],314
closer,['closer'],314
works,['works'],314
dated,['dated'],313
biggest,['biggest'],312
apparently,['apparently'],312
to,['to'],312
catch,['catch'],312
worried,['worried'],311
concerned,['concerned'],311
friday,['friday'],310
missed,['missed'],310
sofa,['sofa'],309
travelled,['travelled'],309
complex,['complex'],309
bargain,['bargain'],308
setting,['setting'],308
office,['office'],308
situation,['situation'],308
meat,['meat'],308
normal,['normal'],307
reserve,['reserve'],307
games,['games'],307
similar,['similar'],307
christmas,['christmas'],307
cards,['cards'],306
seasons,['seasons'],306
meant,['meant'],305
dishes,['dishes'],305
snack,['snack'],305
numerous,['numerous'],305
cleanliness,['cleanliness'],305
downside,['downside'],305
venice,['venice'],304
bonus,['bonus'],304
talking,['talking'],304
woman,['woman'],304
informed,['informed'],303
placed,['placed'],303
linens,['linens'],303
tickets,['tickets'],303
fit,['fit'],302
pleasure,['pleasure'],302
paper,['paper'],302
impressive,['impressive'],301
patio,['patio'],300
nicest,['nicest'],300
talk,['talk'],300
guide,['guide'],300
watching,['watching'],299
disappointment,['disappointment'],298
vendors,['vendors'],298
map,['map'],298
contact,['contact'],298
girls,['girls'],297
october,['october'],297
costs,['costs'],297
example,['example'],297
palm,['palm'],296
smelled,['smelled'],296
13,['13'],296
museums,['museums'],296
giving,['giving'],295
breeze,['breeze'],295
rough,['rough'],294
dancing,['dancing'],293
green,['green'],293
cereal,['cereal'],293
missing,['missing'],292
receptionist,['receptionist'],291
team,['team'],291
tasty,['tasty'],291
hesitate,['hesitate'],291
men,['men'],291
game,['game'],291
200,['200'],290
lighting,['lighting'],289
stunning,['stunning'],289
encountered,['encountered'],289
sat,['sat'],289
garage,['garage'],289
drinking,['drinking'],288
worry,['worry'],287
uncomfortable,['uncomfortable'],287
pre,['pre'],287
stopped,['stopped'],286
women,['women'],286
travellers,['travellers'],286
ran,['ran'],285
waiter,['waiter'],285
girlfriend,['girlfriend'],285
toast,['toast'],285
apartment,['apartment'],285
bug,['bug'],285
clerk,['clerk'],284
explore,['explore'],284
fancy,['fancy'],284
black,['black'],284
rep,['rep'],283
charges,['charges'],283
till,['till'],282
january,['january'],282
covered,['covered'],282
and,['and'],282
clearly,['clearly'],281
bright,['bright'],281
temperature,['temperature'],281
cash,['cash'],281
arranged,['arranged'],280
showers,['showers'],280
maids,['maids'],279
particular,['particular'],279
pasta,['pasta'],279
prefer,['prefer'],279
republic,['republic'],279
relatively,['relatively'],278
stations,['stations'],277
meats,['meats'],277
november,['november'],277
charm,['charm'],276
ferry,['ferry'],276
addition,['addition'],276
for,['for'],276
bacon,['bacon'],276
waiters,['waiters'],275
sorry,['sorry'],275
folks,['folks'],275
dance,['dance'],274
accommodating,['accommodating'],274
they,['they'],274
80,['80'],273
tipping,['tipping'],273
impression,['impression'],273
2005,['2005'],273
age,['age'],273
season,['season'],273
furnishings,['furnishings'],272
snorkeling,['snorkeling'],272
cocktails,['cocktails'],272
alcohol,['alcohol'],271
cant,['cant'],271
plentiful,['plentiful'],271
playing,['playing'],271
worn,['worn'],270
as,['as'],269
machines,['machines'],268
elegant,['elegant'],268
pillow,['pillow'],268
plane,['plane'],268
honestly,['honestly'],268
ny,['ny'],267
catalunya,['catalunya'],267
expedia,['expedia'],267
beijing,['beijing'],267
september,['september'],267
sf,['sf'],267
wake,['wake'],266
stated,['stated'],266
sight,['sight'],266
nor,['nor'],266
hardly,['hardly'],265
rated,['rated'],265
required,['required'],265
appeared,['appeared'],264
wet,['wet'],262
direct,['direct'],262
power,['power'],261
foods,['foods'],260
bahia,['bahia'],260
thats,['thats'],260
